TRUNC((UPDATED_AT-CREATED_AT)*24)	RAW	AOD	ESD	DESD	DAOD	DRAW
0	1233340	233523	162067	117764	12180	88993
1	93114	10916	8488	3888	543	2925
2	20167	2587	2102	947	145	767
3	14192	1492	988	675	110	525
4	12030	1426	2753	779	82	586
5	6321	1139	1077	505	37	284
6	5811	629	1143	552	37	407
7	1669	336	580	495	5	130
8	1282	338	310	462	23	225
9	1047	382	119	184	5	138
10	184	428	441	219	0	153
11	181	128	62	119	0	44
12	26	23	4	47	0	9
13	8	7	0	97	0	4
14	0	2	0	3	0	1
15	0	0	0	0	0	1
16	0	0	0	0	0	1
17	3	0	0	0	0	0
18	0	1	0	0	0	2
19	0	164	0	1	0	0
20	0	189	0	0	0	0
21	8	150	0	0	0	0
22	0	190	0	0	0	1
23	0	73	0	0	0	2
24	0	54	0	0	0	0
25	0	91	0	0	0	2
26	0	70	0	1	0	0
27	0	12	0	0	0	0
28	0	54	0	0	0	0
29	0	18	0	0	0	0
