COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	TRUNC(MEOL_AT,'MM')
1	1	38181798	2007-09-01 00:00:00.0
1	1	51042878	2007-11-01 00:00:00.0
14	14	15979832447	2008-09-01 00:00:00.0
194	6788	4617547047	2008-10-01 00:00:00.0
26	26	30879086887	2008-11-01 00:00:00.0
316	16277	174157302137	2008-12-01 00:00:00.0
788	36245	464091713506	2009-01-01 00:00:00.0
8	189	40449691548	2009-02-01 00:00:00.0
3	7	13509388341	2009-03-01 00:00:00.0
2	2	311715843	2009-04-01 00:00:00.0
29	29	10475484861	2009-05-01 00:00:00.0
16	16	65871755490	2009-06-01 00:00:00.0
17	103	4533573754	2009-07-01 00:00:00.0
14	168	5360530770	2009-08-01 00:00:00.0
26	192	17828797661	2009-09-01 00:00:00.0
68	733	66703716070	2009-10-01 00:00:00.0
45	751	38810660943	2009-11-01 00:00:00.0
43	117	47916855638	2009-12-01 00:00:00.0
167	1652	48473733591	2010-01-01 00:00:00.0
125	1481	110553794788	2010-02-01 00:00:00.0
99	580	111402572042	2010-03-01 00:00:00.0
205	964	146871709018	2010-04-01 00:00:00.0
98	2218	703239924794	2010-05-01 00:00:00.0
62	1136	53607901717	2010-06-01 00:00:00.0
233	55711	93247276855	2010-07-01 00:00:00.0
113	2149	987227577875	2010-08-01 00:00:00.0
301	12317	1220022823078	2010-09-01 00:00:00.0
804	19625	3468051733098	2010-10-01 00:00:00.0
345	12953	1171449737080	2010-11-01 00:00:00.0
811	64569	54633857382	2010-12-01 00:00:00.0
291	2522	109925673595	2011-01-01 00:00:00.0
433	61376	349335891040	2011-02-01 00:00:00.0
449	1941	1968836306969	2011-03-01 00:00:00.0
736	1608	640809594967	2011-04-01 00:00:00.0
387	1042	148275228185	2011-05-01 00:00:00.0
416	4510	214670386175	2011-06-01 00:00:00.0
161	1999	321797515411	2011-07-01 00:00:00.0
147	1587	259041098110	2011-08-01 00:00:00.0
151	429	75507346702	2011-09-01 00:00:00.0
124	334	71072862511	2011-10-01 00:00:00.0
294	4116	1252382817373	2011-11-01 00:00:00.0
368	2097	415077082473	2011-12-01 00:00:00.0
438	873	196415546796	2012-01-01 00:00:00.0
835	11298	1891718123041	2012-02-01 00:00:00.0
768	9279	1690749756374	2012-03-01 00:00:00.0
1435	38800	3496449017948	2012-04-01 00:00:00.0
540	9597	1188455866123	2012-05-01 00:00:00.0
288	2711	379269144511	2012-06-01 00:00:00.0
328	957	108814037271	2012-07-01 00:00:00.0
1311	21014	369964951191	2012-08-01 00:00:00.0
762	29055	5279028627007	2012-09-01 00:00:00.0
500	2649	1238850597069	2012-10-01 00:00:00.0
337	10310	766591371674	2012-11-01 00:00:00.0
151	5720	84618240454	2012-12-01 00:00:00.0
564	8510	717877236691	2013-01-01 00:00:00.0
358	946	174562861966	2013-02-01 00:00:00.0
336	1095	82422190297	2013-03-01 00:00:00.0
132	719	96888268411	2013-04-01 00:00:00.0
267	295	439630767813	2013-05-01 00:00:00.0
28	28	17457328630	2013-06-01 00:00:00.0
427	587	419859029292	2013-07-01 00:00:00.0
79	170	33317666546	2013-08-01 00:00:00.0
1731	3696	180346605974	2013-09-01 00:00:00.0
237	2978	1298314642546	2013-10-01 00:00:00.0
201	1726	854901177510	2013-11-01 00:00:00.0
66	2865	909821043074	2013-12-01 00:00:00.0
57	10276	10034622921355	2014-01-01 00:00:00.0
224	77618	85481746933026	2014-02-01 00:00:00.0
325	118478	108306094493586	2014-03-01 00:00:00.0
1847	77453	93648717345856	2014-04-01 00:00:00.0
469	13498	17834412451417	2014-05-01 00:00:00.0
1011	269526	180918344234304	2014-06-01 00:00:00.0
395	56487	50838923710750	2014-07-01 00:00:00.0
528	49203	88217161533619	2014-08-01 00:00:00.0
795	27520	25425595765914	2014-09-01 00:00:00.0
1228	45959	25365394387319	2014-10-01 00:00:00.0
935	44090	53855954733481	2014-11-01 00:00:00.0
1325	677348	92893123782790	2014-12-01 00:00:00.0
2810	236208	75208033126361	2015-01-01 00:00:00.0
2212	302848	123756226998762	2015-02-01 00:00:00.0
1367	349721	89080412488477	2015-03-01 00:00:00.0
1262	75053	19998004967669	2015-04-01 00:00:00.0
439	178947	108298283653419	2015-05-01 00:00:00.0
926	451074	169163676513558	2015-06-01 00:00:00.0
612	379881	128571946456004	2015-07-01 00:00:00.0
548	215888	140129001526230	2015-08-01 00:00:00.0
1465	276043	44838053482398	2015-09-01 00:00:00.0
1028	164662	23382678932858	2015-10-01 00:00:00.0
5525	870804	136813560521464	2015-11-01 00:00:00.0
13547	672288	405610574438880	2015-12-01 00:00:00.0
18219	882010	398085820339077	2016-01-01 00:00:00.0
1747	556736	226781018446392	2016-02-01 00:00:00.0
1116	197197	157638888628253	2016-03-01 00:00:00.0
1281	224153	271484637214554	2016-04-01 00:00:00.0
22045	1665645	464304797175698	2016-05-01 00:00:00.0
57895	3441521	1393509312928342	2016-06-01 00:00:00.0
74928	4625783	1641888943857688	2016-07-01 00:00:00.0
44795	7173380	2176442334569193	2016-08-01 00:00:00.0
55745	13377813	4693782277258057	2016-09-01 00:00:00.0
76894	14554817	4969395757642995	2016-10-01 00:00:00.0
83094	7990409	5123602126859348	2016-11-01 00:00:00.0
105446	10358509	8582373569360850	2016-12-01 00:00:00.0
99252	8532976	8673188272828463	2017-01-01 00:00:00.0
108437	7617610	6961571189886136	2017-02-01 00:00:00.0
14703	7943675	4645578270054746	2017-03-01 00:00:00.0
20621	4676350	2599763098791159	2017-04-01 00:00:00.0
29202	5571415	3458479039047757	2017-05-01 00:00:00.0
17139	5185043	2941897559500091	2017-06-01 00:00:00.0
20832	4021949	1994686695359214	2017-07-01 00:00:00.0
73323	5773102	3738211546687289	2017-08-01 00:00:00.0
18107	2219629	689287626090684	2017-09-01 00:00:00.0
8269	3586560	1324328516142677	2017-10-01 00:00:00.0
10855	2276585	1143445869820946	2017-11-01 00:00:00.0
4342	1978230	1271914668221000	2017-12-01 00:00:00.0
35970	7216697	1082706253673061	2018-01-01 00:00:00.0
49951	6841316	2092864899644020	2018-02-01 00:00:00.0
4453	3509489	738592031129195	2018-03-01 00:00:00.0
13823	3078001	960848404714797	2018-04-01 00:00:00.0
43065	5877442	1619509419849833	2018-05-01 00:00:00.0
64352	5374409	2614302851559621	2018-06-01 00:00:00.0
15802	6440195	2818243302201892	2018-07-01 00:00:00.0
11060	8717637	493765884561379	2018-08-01 00:00:00.0
6093	9335412	104081639421693	2018-09-01 00:00:00.0
5349	22298939	155039782720251	2018-10-01 00:00:00.0
6464	5621268	64599520307739	2018-11-01 00:00:00.0
3241	5817088	336583947549725	2018-12-01 00:00:00.0
4268	7896567	75316817736229	2019-01-01 00:00:00.0
3579	12890805	133955113864999	2019-02-01 00:00:00.0
2926	1384007	22171411061093	2019-03-01 00:00:00.0
3710	1367910	40069600414315	2019-04-01 00:00:00.0
7997	6558643	87922905371983	2019-05-01 00:00:00.0
5192	6008233	451111710515961	2019-06-01 00:00:00.0
20350	6093733	257203731358159	2019-07-01 00:00:00.0
12190	402436	18088417469924	2019-08-01 00:00:00.0
2041	214814	5794505084064	2019-09-01 00:00:00.0
1245	66468	7019304465650	2019-10-01 00:00:00.0
1025	11028	1236075451620	2019-11-01 00:00:00.0
1005	1220	98068177889	2019-12-01 00:00:00.0
2063	19225	4329460108714	2020-01-01 00:00:00.0
1553	28680	7526254577912	2020-02-01 00:00:00.0
4445	181805	16090915681252	2020-03-01 00:00:00.0
3298	55222	22289659916446	2020-04-01 00:00:00.0
3048	92295	34498974491260	2020-05-01 00:00:00.0
2896	39052	11106892396496	2020-06-01 00:00:00.0
2253	93287	8704987796631	2020-07-01 00:00:00.0
2774	107890	18088547636867	2020-08-01 00:00:00.0
7473	66595	19798761440993	2020-09-01 00:00:00.0
1355	28477	27833721723815	2020-10-01 00:00:00.0
525	29670	59092938414516	2020-11-01 00:00:00.0
397	14148	1235419058597	2020-12-01 00:00:00.0
1083	373253	35964088333484	2021-01-01 00:00:00.0
1497	141111	14389903353587	2021-02-01 00:00:00.0
1821	32042	13371100705001	2021-03-01 00:00:00.0
2090	36288	31760067087779	2021-04-01 00:00:00.0
2185	216268	66640604499958	2021-05-01 00:00:00.0
6091	590494	120108502325522	2021-06-01 00:00:00.0
5179	456768	78010403163200	2021-07-01 00:00:00.0
983	983	187775310675	2021-08-01 00:00:00.0
605	1667	101162989407	2021-09-01 00:00:00.0
376	376	64589597880	2021-10-01 00:00:00.0
24	4052	18627816287	2021-11-01 00:00:00.0
34	77	6723929278	2021-12-01 00:00:00.0
311	6077	55896857008	2022-01-01 00:00:00.0
919	4144	175791404755	2022-02-01 00:00:00.0
855	2556	267690521873	2022-03-01 00:00:00.0
817	817	175666847089	2022-04-01 00:00:00.0
725	725	101519758780	2022-05-01 00:00:00.0
860	860	150935099171	2022-06-01 00:00:00.0
784	784	138039338809	2022-07-01 00:00:00.0
2076	265664	19046043864147	2022-08-01 00:00:00.0
9032	2383302	123603974083736	2022-09-01 00:00:00.0
3610	309244	16957175100437	2022-10-01 00:00:00.0
382	20928	1069939792366	2022-11-01 00:00:00.0
858	6715	424777407108	2022-12-01 00:00:00.0
556	310414	15105287596210	2023-01-01 00:00:00.0
572	242103	11630598478924	2023-02-01 00:00:00.0
275	424895	25976401789361	2023-03-01 00:00:00.0
953	25549	1944008217348	2023-04-01 00:00:00.0
1198	193097	10303605349019	2023-05-01 00:00:00.0
13	39154	2389276770113	2023-06-01 00:00:00.0
40	829	92530314750	2023-07-01 00:00:00.0
75	12339	951810450201	2023-10-01 00:00:00.0
27	22667	457372785441	2023-11-01 00:00:00.0
32	11793	898724277841	2023-12-01 00:00:00.0
14	6011	40461289324	2024-01-01 00:00:00.0
44	9379	754806934091	2024-02-01 00:00:00.0
18	1276	74195814950	2024-03-01 00:00:00.0
14	22815	1248347749250	2024-04-01 00:00:00.0
22	22	731453914	2024-05-01 00:00:00.0
6	5156	47553204352	2024-06-01 00:00:00.0
26	35773	654328104248	2024-07-01 00:00:00.0
181	6771	105601816223	2024-08-01 00:00:00.0
235	18029	179129600583	2024-09-01 00:00:00.0
457	9947	25699294430	2024-10-01 00:00:00.0
2	2	108238750	2024-11-01 00:00:00.0
932	12017	368491069490	2024-12-01 00:00:00.0
1756	65795	1683853967237	2025-01-01 00:00:00.0
3023	249712	7268646528678	2025-02-01 00:00:00.0
2943	7825	916468997411	2025-03-01 00:00:00.0
2550	100370	7078570637894	2025-04-01 00:00:00.0
1874	154703	11007328019144	2025-05-01 00:00:00.0
2024	249167	16226705986377	2025-06-01 00:00:00.0
1312	82390	3841552650500	2025-07-01 00:00:00.0
1272	145959	4277139960096	2025-08-01 00:00:00.0
1366	527995	28483509364119	2025-09-01 00:00:00.0
2507	627051	47775784532061	2025-10-01 00:00:00.0
332	98542	6084054351466	2025-11-01 00:00:00.0
1221	905961	90597232555897	2025-12-01 00:00:00.0
2496	594147	28164566684693	2026-01-01 00:00:00.0
1539	72346	5759163359626	2026-02-01 00:00:00.0
1919	105393	6571467414643	2026-03-01 00:00:00.0
1622	182184	10368588507542	2026-04-01 00:00:00.0
1321	270669	16350675507357	2026-05-01 00:00:00.0
3933	307098	9066780240877	2026-06-01 00:00:00.0
228	4746	6362571648168	2106-09-01 00:00:00.0
363	25979	39509961010620	2106-10-01 00:00:00.0
12	12	5291734	2106-11-01 00:00:00.0
589	37505	72746434637328	2106-12-01 00:00:00.0
427	23422	13641698774490	2107-01-01 00:00:00.0
2264	133643	213220522199770	2107-02-01 00:00:00.0
3428	302427	545175623621368	2107-03-01 00:00:00.0
3792	424169	606803986857592	2107-04-01 00:00:00.0
9240	483500	806861813736532	2107-05-01 00:00:00.0
650	104780	101600165311008	2107-06-01 00:00:00.0
118	20563	3135147580812	2107-07-01 00:00:00.0
30	11280	2779904134796	2107-08-01 00:00:00.0
59	25517	6166895704924	2107-10-01 00:00:00.0
1458	43112	62224328113656	2107-11-01 00:00:00.0
859	21091	34542071257340	2107-12-01 00:00:00.0
2633	331344	640387925854500	2108-01-01 00:00:00.0
209	3439	3918743839436	2108-02-01 00:00:00.0
689	9449	10478087608988	2108-03-01 00:00:00.0
916	51041	59127732115228	2108-04-01 00:00:00.0
4249	399519	767697997955308	2108-05-01 00:00:00.0
2907	471075	589529083531652	2108-06-01 00:00:00.0
867	129998	160554466683804	2108-07-01 00:00:00.0
776	75907	62923998405780	2108-08-01 00:00:00.0
3125	299480	375269122834996	2108-09-01 00:00:00.0
2658	310272	342614312825888	2108-10-01 00:00:00.0
2402	328534	419691836455220	2108-11-01 00:00:00.0
2498	296292	386801881727512	2108-12-01 00:00:00.0
2108	232200	386657556758748	2109-01-01 00:00:00.0
1751	403747	697668953751372	2109-02-01 00:00:00.0
2654	314121	591649074021836	2109-03-01 00:00:00.0
1943	213175	417648187792200	2109-04-01 00:00:00.0
2582	242517	453971724011408	2109-05-01 00:00:00.0
2231	389656	633328974025536	2109-06-01 00:00:00.0
594	999	219232768404	2109-07-01 00:00:00.0
493	4539	6810988775296	2109-08-01 00:00:00.0
1437	107415	127346209416708	2109-09-01 00:00:00.0
2018	374600	420319128165960	2109-10-01 00:00:00.0
2276	494079	466879243527948	2109-11-01 00:00:00.0
2644	594591	552383676505240	2109-12-01 00:00:00.0
1887	510978	505910337848036	2110-01-01 00:00:00.0
2665	613118	375299093600860	2110-02-01 00:00:00.0
1936	330364	199084759087036	2110-03-01 00:00:00.0
3530	683253	474348749349084	2110-04-01 00:00:00.0
2604	614752	404664225131056	2110-05-01 00:00:00.0
2482	442977	403782678993552	2110-06-01 00:00:00.0
