COUNT(*)	SUM(NVL(MLENGTH,0))	SUM(NVL(MBYTES,0))	ATLAS_RUCIO.ID2RSE(RSE_ID)
10925	1283485	1021494328488696	BNL-OSG2_MCTAPE
1872	1043061	580743418415621	CERN-PROD_DERIVED
28890	2993933	499841417692772	BNL-OSG2_DATADISK
6650	550822	464025651302250	RAL-LCG2_MCTAPE
4012	457530	382864668370621	IN2P3-CC_MCTAPE
5886	502382	370755998270541	FZK-LCG2_MCTAPE
19946	291132	365808696362314	CERN-PROD_TZERO
15814	1400756	282183392497217	IN2P3-CC_DATADISK
21712	1425377	280291013998884	FZK-LCG2_DATADISK
15557	744248	231098560699806	CERN-PROD_DATADISK
18997	1775601	219410831611377	RAL-LCG2_DATADISK
15208	1272202	209134447377930	NDGF-T1_DATADISK
12708	1160484	196570882482264	INFN-T1_DATADISK
3092	236496	193831706975110	TRIUMF-LCG2_MCTAPE
2507	264733	191885957126071	SARA-MATRIX_MCTAPE
2429	272858	182208122272848	INFN-T1_MCTAPE
3548	96900	164751678988360	BNL-OSG2_DATATAPE
2528	214301	143827765961228	NDGF-T1_MCTAPE
1589	157797	123317357572445	PIC_MCTAPE
793	77446	116234199784178	SARA-MATRIX_DATATAPE
12456	538620	109587848027979	PIC_DATADISK
633	41971	107480356162809	TRIUMF-LCG2_DATATAPE
12889	1211675	105624293626607	TRIUMF-LCG2_DATADISK
371	34912	89163720130566	CERN-PROD_RAW
637	53940	89068716995774	FZK-LCG2_DATATAPE
667	34190	82637400473512	RAL-LCG2_DATATAPE
8624	705696	81213522229340	SARA-MATRIX_DATADISK
657	39883	79866394157657	INFN-T1_DATATAPE
365	42272	77591679941257	PIC_DATATAPE
2118	193093	63880047669181	RRC-KI-T1_DATADISK
663	28894	60297580776057	IN2P3-CC_DATATAPE
310	23276	48838952955041	MWT2_DATADISK
354	37287	46103249098758	NET2_DATADISK
1397	190709	31457674282913	TAIWAN-LCG2_DATADISK
308	20491	29563423522429	NDGF-T1_DATATAPE
260	16878	28539654412075	AGLT2_DATADISK
434	19671	26642159998522	TOKYO-LCG2_DATADISK
201	20143	23573542752888	UKI-LT2-QMUL_DATADISK
197	19716	22037646929984	WUPPERTALPROD_DATADISK
936	31604	19280886782348	NIKHEF-ELPROD_DATADISK
271	26646	18237513723594	UKI-NORTHGRID-LANCS-HEP_DATADISK
344	73210	18133555224073	IFIC-LCG2_DATADISK
213	21383	14664414807747	UKI-SCOTGRID-ECDF_DATADISK
206	19705	14509021623370	CA-MCGILL-CLUMEQ-T2_DATADISK
349	72316	14048182885889	DESY-HH_DATADISK
197	12177	13402976957192	RU-PROTVINO-IHEP_DATADISK
368	61482	12837802808167	GRIF-LPNHE_DATADISK
1047	165141	12552169606942	SFU-LCG2_DATADISK
4516	74243	11679787784984	GRIF-LAL_DATADISK
234	17998	11598692907246	PRAGUELCG2_DATADISK
289	20366	11444574455108	UKI-NORTHGRID-MAN-HEP_DATADISK
212	16912	11245652012702	CA-VICTORIA-WESTGRID-T2_DATADISK
420	50986	11172422404287	UKI-SCOTGRID-GLASGOW_DATADISK
3376	90274	10550377072319	SWT2_CPB_DATADISK
226	19407	10347241027491	UAM-LCG2_DATADISK
197	8887	10334994907605	IN2P3-LAPP_DATADISK
237	13021	10222078475131	UNI-FREIBURG_DATADISK
197	17815	10220083479358	INFN-FRASCATI_DATADISK
197	23706	9686172869854	IN2P3-LPSC_DATADISK
243	19524	9385561460943	AUSTRALIA-ATLAS_DATADISK
193	19281	8506306540181	DESY-ZN_DATADISK
360	51475	8245344033828	JINR-LCG2_DATADISK
196	17380	8046899962292	GOEGRID_DATADISK
195	18092	7975823646607	MPPMU_DATADISK
351	36011	7850678700270	UKI-LT2-RHUL_DATADISK
217	20730	7312902998751	GRIF-IRFU_DATADISK
203	26163	7080356862487	SLACXRD_DATADISK
204	20785	7058276238029	CSCS-LCG2_DATADISK
7605	50091	7055651056781	LRZ-LMU_DATADISK
223	22911	6279577888525	IN2P3-CPPM_DATADISK
197	14356	6274767375920	INFN-MILANO-ATLASC_DATADISK
18	1645	6079119716559	UKI-SCOTGRID-ECDF-RDF_LOCALGROUPDISK
194	16394	6069705663791	INFN-NAPOLI-ATLAS_DATADISK
208	9712	6009726167698	INFN-ROMA1_DATADISK
15	26276	5894053518918	CERN-PROD_MCTAPE
185	11404	5773814639851	IN2P3-LPC_DATADISK
194	20001	5438987970924	UKI-SOUTHGRID-OX-HEP_DATADISK
1203	29490	5254085571441	UKI-NORTHGRID-LIV-HEP_DATADISK
196	13694	5236625967297	UKI-SOUTHGRID-RALPP_DATADISK
2242	3279	4758748121772	CERN-PROD_DATATAPE
184	19954	4222303204359	CA-SCINET-T2_DATADISK
3	1707	3282157807921	RO-07-NIPNE_DATADISK
8	1501	3252830088420	PRAGUELCG2_PPSLOCALGROUPDISK
4	464	2264550172404	ANLASC_USERDISK
2111	12368	2065566448749	CERN-PROD_HOTDISK
2	511	1658673849956	UKI-SOUTHGRID-CAM-HEP_DATADISK
67	3240	1492507386122	UNIBE-LHEP_DATADISK
3	724	1094972301406	FMPHI-UNIBA_DATADISK
7	3786	753474822508	CYFRONET-LCG2_DATADISK
1	201	575038299592	IFAE_DATADISK
1	200	564700765797	CERN-PROD_SCRATCHDISK
1	200	78527542156	HEPHY-UIBK_DATADISK
2	4	2510536474	EELA-UNLP_DATADISK
2	2	1149830296	ZA-WITS-CORE_PRODDISK
3	0	0	CERN-PROD_DAQ
