COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	SCOPE	TRUNC(MEOL_AT,'MM')
111	4626	6358273146000	data08_cosm6	2106-09-01 00:00:00.0
9123	1191147	612322480056340	mc12_8TeV	2016-11-01 00:00:00.0
10295	1168440	879632427493277	data16_13TeV	2018-08-01 00:00:00.0
1093	19169	8223126379905	data15_13TeV	2020-06-01 00:00:00.0
8	974	394225811	data13_2p76TeV	2016-11-01 00:00:00.0
4817	42506	52637627214	mc_evind	2016-07-01 00:00:00.0
632	200802	159893034839936	data14_cos	2113-06-01 00:00:00.0
15078	598068	684004912650299	data16_13TeV	2016-11-01 00:00:00.0
88	88	1111033872	data08_calib	2106-09-01 00:00:00.0
1052	184734	1035177090664	data16_13TeV	2017-08-01 00:00:00.0
3351	3162246	2402159633627308	mc15_13TeV	2017-03-01 00:00:00.0
27	27	894353774	data08_calib	2107-01-01 00:00:00.0
8632	696524	30868489310562	mc12_8TeV	2018-04-01 00:00:00.0
408	26304	3913396116120	data15_comm	2114-05-01 00:00:00.0
382	102142	127768627587440	data_test	2113-11-01 00:00:00.0
326	58412	5372119136048	data15_1beam	2113-10-01 00:00:00.0
380	125386	251923792622632	data_test	2113-09-01 00:00:00.0
17676	2046681	52771408348843	mc12_8TeV	2017-08-01 00:00:00.0
999	49426	43524937730138	mc16_valid	2017-08-01 00:00:00.0
6842	2329709	2293204243727781	mc12_8TeV	2017-01-01 00:00:00.0
434	1037238	24244822143788	mc15_13TeV	2018-04-01 00:00:00.0
1186	24383	14528589652846	data15_13TeV	2020-09-01 00:00:00.0
208	35631	56782057961173	valid2	2016-07-01 00:00:00.0
1178	115171	3463358948376	data15_13TeV	2025-08-01 00:00:00.0
553	14784	8958587955415	data15_13TeV	2020-08-01 00:00:00.0
1896	207620	99654925001184	data16_comm	2114-11-01 00:00:00.0
1585	22504	10773600816	mc_evind	2016-08-01 00:00:00.0
89	145151	93507316942454	mc12_14TeV	2016-07-01 00:00:00.0
2062	783555	91342437735556	valid1	2018-05-01 00:00:00.0
933	178456	206281151897496	data15_13TeV	2114-02-01 00:00:00.0
178	2052	150094538717	data16_13TeV	2026-07-01 00:00:00.0
170	314759	271410033177229	data15_hi	2018-04-01 00:00:00.0
254	46829	7555251122256	valid2	2016-10-01 00:00:00.0
446	92102	179164383914337	valid1	2016-12-01 00:00:00.0
517	22021	7363417714482	data15_cos	2020-02-01 00:00:00.0
3173	279182	7157883672860	data16_13TeV	2026-06-01 00:00:00.0
684	302354	21312274728198	data15_13TeV	2025-09-01 00:00:00.0
3019	161908	72880166124756	mc15_14TeV	2017-02-01 00:00:00.0
4395	498004	327048876095043	data15_13TeV	2016-06-01 00:00:00.0
981	107465	52646497007112	data15_comm	2114-01-01 00:00:00.0
95	8726	22444889588392	valid1	2016-03-01 00:00:00.0
9	64	3464567084	data08_tilecomm	2107-03-01 00:00:00.0
301	2890	2208864467315	data15_13TeV	2018-08-01 00:00:00.0
36	1524	627425400357	data15_5TeV	2016-11-01 00:00:00.0
1119	199543	12214343437405	data16_13TeV	2026-05-01 00:00:00.0
207	430504	38146260740452	mc15_14TeV	2016-11-01 00:00:00.0
314	9131	224838424165	mc15_5TeV	2019-08-01 00:00:00.0
200	50798	7046224553950	valid2	2016-06-01 00:00:00.0
188	163912	938038188078	mc12_8TeV	2018-12-01 00:00:00.0
33	16176	1400210583693	data15_comm	2015-09-01 00:00:00.0
4196	3831244	174039512522159	mc15_13TeV	2019-06-01 00:00:00.0
108	108	8308598956	data16_comm	2026-04-01 00:00:00.0
456	41497	47676615304276	data10_900GeV	2108-11-01 00:00:00.0
151	1766	362818172846	data10_7TeV	2011-12-01 00:00:00.0
47	2342	446630002000	data10_comm	2109-06-01 00:00:00.0
520	156894	1403778990290	mc15_13TeV	2018-01-01 00:00:00.0
441	28221	56711997757635	data15_hi	2020-11-01 00:00:00.0
161	144730	16613440952682	data15_13TeV	2015-12-01 00:00:00.0
2493	2091350	1221682483498652	data12_8TeV	2111-05-01 00:00:00.0
1088	1088	9328310454	data08_cosmag	2013-09-01 00:00:00.0
50	208458	6242929357134	data11_hi	2025-09-01 00:00:00.0
117	1464	86525889216	data16_comm	2021-05-01 00:00:00.0
439	70733	12316604817632	data15_comm	2114-02-01 00:00:00.0
1075	75946	90384568571580	data16_13TeV	2021-06-01 00:00:00.0
282	6549	571566215814	data15_comm	2020-10-01 00:00:00.0
724	108598	131162378797792	data10_900GeV	2108-09-01 00:00:00.0
54	54	99090259	data10_1beam	2015-01-01 00:00:00.0
983	191912	358904735048900	data10_7TeV	2109-01-01 00:00:00.0
1785	294792	576398767360692	data10_7TeV	2109-03-01 00:00:00.0
677	3399	2226278882308	data10_calib	2109-01-01 00:00:00.0
161	161	2940012312	data08_cos	2013-10-01 00:00:00.0
24	25	142127550	data08_1beammag	2019-01-01 00:00:00.0
181	53700	55785841398	data09_cos	2010-07-01 00:00:00.0
262	262	1183046075	data09_cos	2014-05-01 00:00:00.0
107	107	1512452000	data08_idcomm	2018-10-01 00:00:00.0
558	2669	1873677572688	data09_calib	2108-01-01 00:00:00.0
31	88	5011370876	data08_cos	2010-02-01 00:00:00.0
104	242	1208892406	data08_cosmag	2019-01-01 00:00:00.0
23	23	227403226	data09_idcomm	2019-02-01 00:00:00.0
743	82308	2879312812541	mc12_13TeV	2017-08-01 00:00:00.0
27	17002	4452383709497	valid2	2017-11-01 00:00:00.0
121	121	15760965351	data10_1beam	2020-02-01 00:00:00.0
11	45	1234255993	data10_900GeV	2011-03-01 00:00:00.0
194	558	53104769378	data10_7TeV	2011-04-01 00:00:00.0
16	233	51506099128	data10_1beam	2011-04-01 00:00:00.0
42	42	3818442529	data10_cos	2020-02-01 00:00:00.0
1032	188583	399545063504448	data10_7TeV	2109-04-01 00:00:00.0
2	2	83967330	data08_calocomm	2013-12-01 00:00:00.0
89	89	667507498	data09_calophys	2014-08-01 00:00:00.0
211	211	5451862342	data09_calophys	2014-09-01 00:00:00.0
23	23	9397753	data09_idcomm	2014-03-01 00:00:00.0
320	257599	333346951633713	valid2	2016-09-01 00:00:00.0
74	74	47757783670	sit	2016-03-01 00:00:00.0
458	97597	22836097552237	valid1	2015-01-01 00:00:00.0
154	154033	27875165538567	data15_13TeV	2017-03-01 00:00:00.0
19	133	134662164852	data10_calocomm	2109-01-01 00:00:00.0
62	62	164746467	data09_900GeV	2014-10-01 00:00:00.0
27	2016	98004709234	data09_2TeV	2019-10-01 00:00:00.0
136	136	18349793409	data09_calophys	2019-09-01 00:00:00.0
