	index	Origin	Nebraska	UCSD	US-MWT2_UIUC	BNL ATLAS	FZU	Trunk
0	2016-07-01 23:20:00	0	0	0	0	0	0	0
1	2016-07-01 23:21:00	0	0	0	0	0	0	0
2	2016-07-01 23:22:00	0	0	0	0	0	0	0
3	2016-07-01 23:23:00	0	0	0	0	0	0	0
4	2016-07-01 23:24:00	0	0	0	0	0	0	0
5	2016-07-01 23:25:00	0	0	0	0	0	0	0
6	2016-07-01 23:26:00	0	0	0	0	0	0	0
7	2016-07-01 23:27:00	0	0	0	0	0	0	0
8	2016-07-01 23:28:00	0	0	0	0	0	0	0
9	2016-07-01 23:29:00	0	0	0	0	0	0	0
10	2016-07-01 23:30:00	0	0	0	0	0	0	0
11	2016-07-01 23:31:00	0	1	0	4	0	0	0
12	2016-07-01 23:32:00	0	3	4	4	0	0	0
13	2016-07-01 23:33:00	0	3	5	4	0	0	0
14	2016-07-01 23:34:00	0	5	10	4	0	0	0
15	2016-07-01 23:35:00	0	7	12	5	0	0	0
16	2016-07-01 23:36:00	0	8	12	5	0	0	0
17	2016-07-01 23:37:00	0	9	12	6	0	0	0
18	2016-07-01 23:38:00	0	7	12	6	0	0	0
19	2016-07-01 23:39:00	0	11	16	10	0	0	0
20	2016-07-01 23:40:00	0	18	16	10	0	0	0
21	2016-07-01 23:41:00	0	20	19	10	0	0	0
22	2016-07-01 23:42:00	0	18	22	13	0	0	0
23	2016-07-01 23:43:00	0	23	22	14	0	0	0
24	2016-07-01 23:44:00	0	23	22	16	0	0	0
25	2016-07-01 23:45:00	0	9	22	9	0	0	0
26	2016-07-01 23:46:00	0	1	17	6	0	0	0
27	2016-07-01 23:47:00	0	0	15	4	0	0	0
28	2016-07-01 23:48:00	0	0	15	4	0	0	0
29	2016-07-01 23:49:00	0	0	15	4	0	0	0
30	2016-07-01 23:50:00	0	0	15	4	0	0	0
31	2016-07-01 23:51:00	0	0	13	4	0	0	0
32	2016-07-01 23:52:00	0	0	13	4	0	0	0
33	2016-07-01 23:53:00	0	0	10	4	0	0	0
34	2016-07-01 23:54:00	0	0	10	4	0	0	0
35	2016-07-01 23:55:00	0	0	9	4	0	0	0
36	2016-07-01 23:56:00	0	0	9	4	0	0	0
37	2016-07-01 23:57:00	0	0	10	4	0	0	0
38	2016-07-01 23:58:00	0	0	10	4	0	0	0
39	2016-07-01 23:59:00	0	0	6	2	0	0	0
40	2016-07-02 00:00:00	0	0	3	2	0	0	0
41	2016-07-02 00:01:00	0	0	6	3	0	0	0
42	2016-07-02 00:02:00	0	0	6	3	0	0	0
43	2016-07-02 00:03:00	0	0	6	3	0	0	0
44	2016-07-02 00:04:00	0	0	6	3	0	0	0
45	2016-07-02 00:05:00	0	0	6	3	0	0	0
46	2016-07-02 00:06:00	0	0	6	3	0	0	0
47	2016-07-02 00:07:00	0	0	6	3	0	0	0
48	2016-07-02 00:08:00	0	0	3	3	0	0	0
49	2016-07-02 00:09:00	0	0	3	3	0	0	0
50	2016-07-02 00:10:00	0	0	3	3	0	0	0
51	2016-07-02 00:11:00	0	0	2	3	0	0	0
52	2016-07-02 00:12:00	0	0	2	3	0	0	0
53	2016-07-02 00:13:00	0	0	2	3	0	0	0
54	2016-07-02 00:14:00	0	0	2	2	0	0	0
55	2016-07-02 00:15:00	0	0	1	2	0	0	0
56	2016-07-02 00:16:00	0	0	1	2	0	0	0
57	2016-07-02 00:17:00	0	0	1	2	0	0	0
58	2016-07-02 00:18:00	0	0	0	2	0	0	0
59	2016-07-02 00:19:00	0	0	0	2	0	0	0
60	2016-07-02 00:20:00	0	0	0	2	0	0	0
61	2016-07-02 00:21:00	0	0	0	2	0	0	0
62	2016-07-02 00:22:00	0	0	0	2	0	0	0
63	2016-07-02 00:23:00	0	0	0	2	0	0	0
64	2016-07-02 00:24:00	0	1	2	4	0	0	0
65	2016-07-02 00:25:00	0	1	2	4	0	0	0
66	2016-07-02 00:26:00	0	0	2	4	0	0	0
67	2016-07-02 00:27:00	0	0	2	4	0	0	0
68	2016-07-02 00:28:00	0	0	0	4	0	0	0
69	2016-07-02 00:29:00	0	0	0	4	0	0	0
70	2016-07-02 00:30:00	0	0	0	4	0	0	0
71	2016-07-02 00:31:00	0	0	0	2	0	0	0
72	2016-07-02 00:32:00	0	0	0	2	0	0	0
73	2016-07-02 00:33:00	0	0	0	1	0	0	0
74	2016-07-02 00:34:00	0	0	0	0	0	0	0
75	2016-07-02 00:35:00	0	0	0	0	0	0	0
76	2016-07-02 00:36:00	0	0	0	0	0	0	0
