,avgpss,batchid,computingsite,cpu_eff,cpuconsumptiontime,modificationhost,pandaid,wall_time
0,1279656.0,6438973,IN2P3-CC,0.9331805,5293,ccwsge1144,2858422893,5672
1,1783652.0,6404844,IN2P3-CC,0.97065866,11347,ccwsge1157,2857904318,11690
2,1753168.0,6405039,IN2P3-CC,0.9705792,9501,ccwsge0605,2857904311,9789
3,1744576.0,6404513,IN2P3-CC,0.9741075,11324,ccwsge0596,2857904308,11625
4,1751483.0,6405036,IN2P3-CC,0.9781022,10050,ccwsge0590,2857904310,10275
5,1763877.0,6404498,IN2P3-CC,0.9703226,11280,ccwsge0242,2857904204,11625
6,842286.0,6404848,IN2P3-CC,0.97606856,11053,ccwsge1138,2857904359,11324
7,1759087.0,6404512,IN2P3-CC,0.97486746,10667,ccwsge0946,2857904223,10942
8,1787947.0,6405467,IN2P3-CC,0.9766569,11715,ccwsge0793,2857904515,11995
9,1810265.0,6405469,IN2P3-CC,0.97511613,11756,ccwsge0782,2857904517,12056
10,1766317.0,6405209,IN2P3-CC,0.9654718,10989,ccwsge0684,2857904512,11382
11,1606600.0,6405240,IN2P3-CC,0.9786106,11072,ccwsge0591,2857904381,11314
12,1767759.0,6405237,IN2P3-CC,0.9774882,11854,ccwsge0576,2857904376,12127
13,1792086.0,6404858,IN2P3-CC,0.9745299,11402,ccwsge0600,2857904377,11700
14,1809235.0,6404864,IN2P3-CC,0.97166336,10287,ccwsge0946,2857904415,10587
15,1798516.0,6404862,IN2P3-CC,0.97152954,10169,ccwsge0834,2857904383,10467
16,1722611.0,6405242,IN2P3-CC,0.9797629,11571,ccwsge0779,2857904414,11810
17,1847761.0,6404502,IN2P3-CC,0.9807806,9951,ccwsge0790,2857904208,10146
18,1815429.0,6405592,IN2P3-CC,0.972033,10705,ccwsge0330,2857904537,11013
19,623904.0,6431736,IN2P3-CC,0.65587735,385,ccwsge0719,2858294729,587
20,1135281.0,6447502,IN2P3-CC,0.8701826,858,ccwsge0584,2858493286,986
21,1370862.0,6439057,IN2P3-CC,0.92698413,5548,ccwsge0163,2858423027,5985
22,1814908.0,6405195,IN2P3-CC,0.96721464,10473,ccwsge0169,2857904458,10828
23,1664736.0,6405194,IN2P3-CC,0.9712415,10233,ccwsge0233,2857904460,10536
24,712941.0,6405324,IN2P3-CC,0.9722839,10945,ccwsge0258,2857904455,11257
25,751733.0,6427567,IN2P3-CC,0.62283236,431,ccwsge0264,2858294737,692
26,833728.0,6427566,IN2P3-CC,0.690992,606,ccwsge0201,2858294740,877
27,803806.0,6427813,IN2P3-CC,0.71447366,543,ccwsge1132,2858294742,760
28,1811213.0,6405247,IN2P3-CC,0.9798019,10187,ccwsge0770,2857904419,10397
29,1773165.0,6405244,IN2P3-CC,0.973004,11029,ccwsge0596,2857904421,11335
30,1759200.0,6405456,IN2P3-CC,0.96415305,10382,ccwsge0145,2857904502,10768
31,1770329.0,6405199,IN2P3-CC,0.96480495,10883,ccwsge0193,2857904498,11280
32,1774215.0,6405201,IN2P3-CC,0.97776407,9498,ccwsge0808,2857904499,9714
33,1740522.0,6433194,IN2P3-CC,0.9575812,6366,ccwsge0241,2858363225,6648
34,170163.0,6446071,IN2P3-CC,0.46728972,100,ccwsge0153,2858465694,214
35,1642323.0,6421577,IN2P3-CC,0.96753246,6556,ccwsge0823,2858193765,6776
36,1284046.0,6443342,IN2P3-CC,0.9226473,3304,ccwsge0565,2858461578,3581
37,1786345.0,6423127,IN2P3-CC,0.9593438,10760,ccwsge0359,2858224963,11216
38,1756168.0,6423129,IN2P3-CC,0.9655077,10469,ccwsge0254,2858224966,10843
39,1772397.0,6422001,IN2P3-CC,0.95206505,10189,ccwsge0946,2858224979,10702
40,1203285.0,6443552,IN2P3-CC,0.9058761,3407,ccwsge0810,2858464745,3761
41,1606049.0,6434726,IN2P3-CC,0.96158254,5031,ccwsge0831,2858380380,5232
42,1652829.0,6434671,IN2P3-CC,0.9525245,5056,ccwsge0590,2858380373,5308
43,1585959.0,6434669,IN2P3-CC,0.9426152,5010,ccwsge0187,2858380377,5315
44,866031.0,6447134,IN2P3-CC,0.67192984,383,ccwsge1161,2858489379,570
45,1734889.0,6425441,IN2P3-CC,0.9607801,8917,ccwsge0599,2858283980,9281
46,1743804.0,6427793,IN2P3-CC,0.9545941,6244,ccwsge0215,2858296464,6541
47,790236.0,6443486,IN2P3-CC,0.7076205,455,ccwsge1125,2858462705,643
48,1668697.0,6429121,IN2P3-CC,0.9450352,6310,ccwsge0135,2858296525,6677
49,1078433.0,6447701,IN2P3-CC,0.94349843,2438,ccwsge0949,2858490392,2584
50,858211.0,6447981,IN2P3-CC,0.84948456,2060,ccwsge0705,2858458017,2425
51,1666586.0,6432913,IN2P3-CC,0.95938563,6496,ccwsge0119,2858363213,6771
52,1619059.0,6432911,IN2P3-CC,0.9688225,6681,ccwsge0110,2858363214,6896
53,1038925.0,6449835,IN2P3-CC,0.9199134,850,ccwsge0819,2858512919,924
54,1337111.0,6444865,IN2P3-CC,0.9237853,2909,ccwsge1121,2858471239,3149
55,2618548.0,6423133,IN2P3-CC,0.9684935,10974,ccwsge1150,2858242167,11331
56,1220411.0,6445620,IN2P3-CC,0.8657244,1470,ccwsge0192,2858469544,1698
57,1272774.0,6443487,IN2P3-CC,0.9224615,4497,ccwsge1159,2858462830,4875
58,1705158.0,6402163,IN2P3-CC,0.96788573,8469,ccwsge0819,2857880793,8750
59,1635427.0,6436963,IN2P3-CC,0.9582062,7222,ccwsge0275,2858398668,7537
60,1606362.0,6437836,IN2P3-CC,0.965075,7074,ccwsge0833,2858410673,7330
61,1317250.0,6430340,IN2P3-CC,0.85929894,1765,ccwsge0806,2858325145,2054
62,1387539.0,6430350,IN2P3-CC,0.86713576,2095,ccwsge0354,2858325143,2416
63,1281435.0,6430334,IN2P3-CC,0.8485477,1227,ccwsge0765,2858325146,1446
64,1357157.0,6430342,IN2P3-CC,0.8103552,1346,ccwsge0145,2858325151,1661
65,1307107.0,6430347,IN2P3-CC,0.8532278,1401,ccwsge1144,2858325148,1642
66,1723772.0,6438196,IN2P3-CC,0.95000917,5188,ccwsge0935,2858410799,5461
67,1682156.0,6438223,IN2P3-CC,0.9458577,5503,ccwsge0356,2858410806,5818
68,1596847.0,6438383,IN2P3-CC,0.94772005,5674,ccwsge0139,2858410815,5987
69,1615658.0,6438384,IN2P3-CC,0.963034,5523,ccwsge0218,2858410814,5735
70,282961.0,6436362,IN2P3-CC,0.9638332,8368,ccwsge0358,2858364315,8682
71,1039841.0,6453907,IN2P3-CC,0.93267554,1607,ccwsge0582,2858526775,1723
72,1632125.0,6441643,IN2P3-CC,0.9689885,5968,ccwsge0798,2858443045,6159
73,1731022.0,6437841,IN2P3-CC,0.9625394,5807,ccwsge0111,2858410670,6033
74,1628101.0,6437790,IN2P3-CC,0.962906,5633,ccwsge0775,2858410659,5850
75,1718596.0,6437793,IN2P3-CC,0.9522445,5982,ccwsge0682,2858410663,6282
76,1212602.0,6452852,IN2P3-CC,0.8509358,1273,ccwsge0793,2858538363,1496
77,1706749.0,6438459,IN2P3-CC,0.96629894,7971,ccwsge0222,2858388753,8249
78,1925430.0,6451055,IN2P3-CC,0.9216216,4092,ccwsge0790,2856529900,4440
79,1644759.0,6441114,IN2P3-CC,0.96603006,5716,ccwsge0603,2858441688,5917
80,1575978.0,6441106,IN2P3-CC,0.95216537,4837,ccwsge0191,2858441696,5080
81,1583562.0,6441111,IN2P3-CC,0.9563268,4905,ccwsge0579,2858441692,5129
82,1670503.0,6441113,IN2P3-CC,0.94877386,5223,ccwsge0207,2858441694,5505
83,660155.0,6456646,IN2P3-CC,0.7114094,318,ccwsge0767,2858573654,447
84,1295707.0,6436726,IN2P3-CC,0.81293535,817,ccwsge0783,2858389838,1005
85,1230288.0,6436778,IN2P3-CC,0.76891106,925,ccwsge1159,2858389846,1203
86,1916371.0,6451025,IN2P3-CC,0.9272459,4397,ccwsge0770,2856529898,4742
87,2056110.0,6450466,IN2P3-CC,0.9309217,4838,ccwsge1157,2856529893,5197
88,1588316.0,6441547,IN2P3-CC,0.96689266,6133,ccwsge0827,2858443036,6343
89,1664411.0,6441545,IN2P3-CC,0.9595811,6505,ccwsge0357,2858443038,6779
90,1751316.0,6441546,IN2P3-CC,0.9565599,6540,ccwsge0244,2858443040,6837
91,1139775.0,6456471,IN2P3-CC,0.92332613,855,ccwsge0584,2858570857,926
92,686920.0,6456807,IN2P3-CC,0.83870965,416,ccwsge0563,2858574874,496
93,1260729.0,6455355,IN2P3-CC,0.8930122,2262,ccwsge0757,2858563256,2533
94,1707578.0,6437650,IN2P3-CC,0.9432764,4307,ccwsge0277,2858408013,4566
95,1614170.0,6437653,IN2P3-CC,0.9395748,5038,ccwsge0948,2858408021,5362
96,2045402.0,6450757,IN2P3-CC,0.9343789,5183,ccwsge0234,2856529894,5547
97,1717011.0,6440906,IN2P3-CC,0.9504505,5697,ccwsge0135,2858440078,5994
98,1901380.0,6450468,IN2P3-CC,0.9259491,5927,ccwsge0196,2856529886,6401
99,1593841.0,6438388,IN2P3-CC,0.9678293,6077,ccwsge0592,2858413442,6279
100,525048.0,6450750,IN2P3-CC,0.109442905,831,ccwsge0764,2858519779,7593
101,1929520.0,6439872,IN2P3-CC,0.9689407,10482,ccwsge0607,2858411160,10818
